"truth_pattern","pi","theta_true","coverage_default","coverage_uniform","coverage_correct","width_default","width_uniform","width_correct","width_ratio_correct_vs_default","width_ratio_correct_vs_uniform"
"gradient",0.3,0,0.94,0.94,0.94,0.1184,0.1184,0.1184,1,1
"gradient",0.3,0.05,1,1,0.969,0.4531,0.4531,0.2839,0.6267,0.6267
"gradient",0.3,0.1,1,1,0.98,0.7891,0.7891,0.45,0.5702,0.5702
"gradient",1,0,0.957,0.957,0.957,0.0355,0.0355,0.0355,1,1
"gradient",1,0.05,1,1,0.971,0.1364,0.1364,0.0858,0.629,0.629
"gradient",1,0.1,1,1,0.975,0.2372,0.2372,0.1361,0.5736,0.5736
"uniform",0.3,0,0.951,0.951,0.951,0.1185,0.1185,0.1185,1,1
"uniform",0.3,0.05,0.975,0.975,0.975,0.4489,0.4489,0.4489,1,1
"uniform",0.3,0.1,0.969,0.969,0.969,0.7836,0.7836,0.7836,1,1
"uniform",1,0,0.959,0.959,0.959,0.0355,0.0355,0.0355,1,1
"uniform",1,0.05,0.967,0.967,0.967,0.1361,0.1361,0.1361,1,1
"uniform",1,0.1,0.977,0.977,0.977,0.2366,0.2366,0.2366,1,1
"zone",0.3,0,0.947,0.947,0.947,0.1184,0.1184,0.1184,1,1
"zone",0.3,0.05,1,1,0.97,0.4552,0.4552,0.1763,0.3874,0.3874
"zone",0.3,0.1,1,1,0.973,0.793,0.793,0.2344,0.2956,0.2956
"zone",1,0,0.94,0.94,0.94,0.0355,0.0355,0.0355,1,1
"zone",1,0.05,1,1,0.972,0.1366,0.1366,0.0531,0.389,0.389
"zone",1,0.1,1,1,0.973,0.2377,0.2377,0.0708,0.2978,0.2978
