"pi","K","subgroup_share","noise_multiplier","R","false_f_rate","false_ci_rate","false_equivalence_rate","mean_min_F","median_min_F","mean_selected_group_share","mean_selected_group_pi_hat","mean_selected_group_pi_se","mean_selected_group_abs_t"
0.05,20,0.01,1,1000,1,1,1,0.0131,0.0034,0.01,8e-04,0.0622,0.0811
0.05,100,0.01,1,1000,1,1,1,6e-04,2e-04,0.01,0,0.0625,0.0176
0.05,500,0.01,1,1000,1,1,1,0,0,0.01,0,0.0625,0.0035
0.05,20,0.02,1,1000,1,1,1,0.0243,0.0064,0.02,0.0015,0.0442,0.1105
0.05,100,0.02,1,1000,1,1,1,0.0013,3e-04,0.02,0,0.0441,0.0253
0.05,500,0.02,1,1000,1,1,1,0,0,0.02,0,0.044,0.0047
0.05,20,0.05,1,1000,1,1,1,0.1524,0.0505,0.05,0.0056,0.0279,0.2932
0.05,100,0.05,1,1000,1,1,1,0.012,0.0021,0.05,7e-04,0.0278,0.0728
0.05,500,0.05,1,1000,1,1,1,5e-04,1e-04,0.05,0,0.0278,0.015
0.05,20,0.1,1,1000,0.994,0.983,1,0.9383,0.6006,0.1,0.0155,0.0196,0.8238
0.05,100,0.1,1,1000,1,1,1,0.2316,0.0872,0.1,0.0062,0.0197,0.3695
0.05,500,0.1,1,1000,1,1,1,0.032,0.0031,0.1,0.0012,0.0197,0.1096
0.1,20,0.01,1,1000,1,1,1,0.0824,0.0232,0.01,0.007,0.0626,0.2094
0.1,100,0.01,1,1000,1,1,1,0.0044,0.0012,0.01,4e-04,0.0628,0.0467
0.1,500,0.01,1,1000,1,1,1,2e-04,0,0.01,0,0.0626,0.009
0.1,20,0.02,1,1000,1,0.998,1,0.4574,0.2627,0.02,0.0214,0.0442,0.555
0.1,100,0.02,1,1000,1,1,1,0.047,0.0123,0.02,0.0036,0.0443,0.1562
0.1,500,0.02,1,1000,1,1,1,0.0029,5e-04,0.02,4e-04,0.0444,0.0355
0.1,20,0.05,1,1000,0.805,0.617,1,3.4611,3.2774,0.05,0.0495,0.0279,1.7784
0.1,100,0.05,1,1000,0.996,0.974,1,1.5196,1.3514,0.05,0.0318,0.028,1.1433
0.1,500,0.05,1,1000,1,1,1,0.5779,0.4411,0.05,0.018,0.0279,0.6656
0.1,20,0.1,1,1000,0.044,0.021,1,11.274,11.1169,0.1,0.065,0.0197,3.3033
0.1,100,0.1,1,1000,0.192,0.093,1,7.5187,7.4638,0.1,0.053,0.0197,2.6887
0.1,500,0.1,1,1000,0.513,0.289,1,5.0176,4.929,0.1,0.0432,0.0197,2.1908
0.2,20,0.01,1,1000,0.962,0.889,0.919,2.089,1.8659,0.01,0.085,0.0636,1.3484
0.2,100,0.01,1,1000,1,1,1,0.6509,0.5294,0.01,0.0441,0.064,0.7158
0.2,500,0.01,1,1000,1,1,1,0.1572,0.0704,0.01,0.0167,0.0639,0.3153
0.2,20,0.02,1,1000,0.216,0.12,0.991,7.2436,7.0665,0.02,0.1177,0.0447,2.6332
0.2,100,0.02,1,1000,0.669,0.406,1,4.2706,4.289,0.02,0.0904,0.0448,2.0164
0.2,500,0.02,1,1000,0.977,0.887,1,2.4409,2.4131,0.02,0.0677,0.0449,1.5083
0.2,20,0.05,1,1000,0,0,1,28.6774,28.7388,0.05,0.1493,0.0281,5.3236
0.2,100,0.05,1,1000,0,0,1,22.3966,22.4739,0.05,0.1327,0.0282,4.7075
0.2,500,0.05,1,1000,0.001,0,1,17.8053,17.8354,0.05,0.1185,0.0282,4.1962
0.2,20,0.1,1,1000,0,0,1,69.8457,70.0585,0.1,0.1649,0.0198,8.3366
0.2,100,0.1,1,1000,0,0,1,60.5515,60.6817,0.1,0.1539,0.0198,7.7623
0.2,500,0.1,1,1000,0,0,1,52.8105,52.9815,0.1,0.144,0.0199,7.25
0.05,20,0.01,2,1000,1,1,0.709,0.0083,0.002,0.01,6e-04,0.1243,0.0645
0.05,100,0.01,2,1000,1,1,0.998,3e-04,1e-04,0.01,0,0.124,0.0128
0.05,500,0.01,2,1000,1,1,1,0,0,0.01,0,0.1242,0.0027
0.05,20,0.02,2,1000,1,1,1,0.0093,0.0025,0.02,2e-04,0.0879,0.0692
0.05,100,0.02,2,1000,1,1,1,4e-04,1e-04,0.02,0,0.088,0.015
0.05,500,0.02,2,1000,1,1,1,0,0,0.02,0,0.088,0.0029
0.05,20,0.05,2,1000,1,1,1,0.0179,0.0042,0.05,9e-04,0.0555,0.0938
0.05,100,0.05,2,1000,1,1,1,8e-04,2e-04,0.05,1e-04,0.0555,0.0201
0.05,500,0.05,2,1000,1,1,1,0,0,0.05,0,0.0556,0.004
0.05,20,0.1,2,1000,1,1,1,0.059,0.0102,0.1,0.0028,0.0393,0.1633
0.05,100,0.1,2,1000,1,1,1,0.0024,4e-04,0.1,1e-04,0.0393,0.0317
0.05,500,0.1,2,1000,1,1,1,1e-04,0,0.1,0,0.0393,0.0068
0.1,20,0.01,2,1000,1,1,0.592,0.0121,0.0033,0.01,9e-04,0.1249,0.0798
0.1,100,0.01,2,1000,1,1,0.988,6e-04,1e-04,0.01,2e-04,0.1253,0.017
0.1,500,0.01,2,1000,1,1,1,0,0,0.01,0,0.1248,0.0035
0.1,20,0.02,2,1000,1,1,1,0.0252,0.0065,0.02,0.0025,0.0881,0.1137
0.1,100,0.02,2,1000,1,1,1,0.0013,3e-04,0.02,1e-04,0.0881,0.0253
0.1,500,0.02,2,1000,1,1,1,0,0,0.02,0,0.0882,0.0049
0.1,20,0.05,2,1000,1,1,1,0.1749,0.0524,0.05,0.0121,0.0556,0.3086
0.1,100,0.05,2,1000,1,1,1,0.0121,0.0023,0.05,0.0015,0.0556,0.0729
0.1,500,0.05,2,1000,1,1,1,6e-04,1e-04,0.05,1e-04,0.0556,0.0153
0.1,20,0.1,2,1000,0.997,0.987,1,0.8832,0.6331,0.1,0.0305,0.0393,0.807
0.1,100,0.1,2,1000,1,1,1,0.212,0.0657,0.1,0.0113,0.0393,0.3475
0.1,500,0.1,2,1000,1,1,1,0.0313,0.0033,0.1,0.0027,0.0393,0.1107
0.2,20,0.01,2,1000,1,1,0.289,0.0828,0.0257,0.01,0.0129,0.1255,0.2132
0.2,100,0.01,2,1000,1,1,0.799,0.0037,9e-04,0.01,5e-04,0.125,0.0431
0.2,500,0.01,2,1000,1,1,0.998,2e-04,0,0.01,1e-04,0.1256,0.0093
0.2,20,0.02,2,1000,1,1,0.801,0.4195,0.2313,0.02,0.0413,0.0885,0.5299
0.2,100,0.02,2,1000,1,1,0.999,0.0515,0.0128,0.02,0.0078,0.0885,0.1622
0.2,500,0.02,2,1000,1,1,1,0.0031,6e-04,0.02,3e-04,0.0884,0.037
0.2,20,0.05,2,1000,0.794,0.611,0.928,3.4365,3.248,0.05,0.0982,0.0559,1.763
0.2,100,0.05,2,1000,0.994,0.977,1,1.4345,1.2742,0.05,0.061,0.0559,1.1004
0.2,500,0.05,2,1000,1,1,1,0.5741,0.4226,0.05,0.0353,0.0558,0.656
0.2,20,0.1,2,1000,0.043,0.018,0.982,11.1542,10.8634,0.1,0.1295,0.0394,3.2886
0.2,100,0.1,2,1000,0.172,0.082,1,7.5748,7.4028,0.1,0.1064,0.0393,2.7044
0.2,500,0.1,2,1000,0.54,0.285,1,5.0202,4.8249,0.1,0.0862,0.0394,2.1871
